"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4767","TC-004 - Send OTP remains disabled without terms acceptance","firefox","2026-09-08","passed","2026-09-08","","TEST-2-login.spec.ts","",""
"","4445","TC-001 - Login page loads with correct initial state","firefox","2026-09-08","passed","2026-09-08","","TEST-1-login.spec.ts","",""
"","4006","TC-004 - Send OTP remains disabled without terms acceptance","webkit","2026-09-08","passed","2026-09-08","","TEST-2-login.spec.ts","",""
"","2804","TC-006 - Send OTP becomes disabled again when checkbox is unchecked","chromium","2026-09-08","passed","2026-09-08","","TEST-2-login.spec.ts","",""
"","3949","TC-001 - Login page loads with correct initial state","webkit","2026-09-08","passed","2026-09-08","","TEST-1-login.spec.ts","",""
"","2994","TC-001 - Login page loads with correct initial state","chromium","2026-09-08","passed","2026-09-08","","TEST-1-login.spec.ts","",""
"","2076","TC-005 - valid mobile + terms enables Send OTP","webkit","2026-09-08","passed","2026-09-08","","TEST-2-login.spec.ts","",""
"","2497","TC-005 - valid mobile + terms enables Send OTP","chromium","2026-09-08","passed","2026-09-08","","TEST-2-login.spec.ts","",""
"","2462","TC-005 - valid mobile + terms enables Send OTP","firefox","2026-09-08","passed","2026-09-08","","TEST-2-login.spec.ts","",""
"","1998","TC-006 - Send OTP becomes disabled again when checkbox is unchecked","webkit","2026-09-08","passed","2026-09-08","","TEST-2-login.spec.ts","",""
"","2186","TC-002 - Mobile number field accepts only numeric input","webkit","2026-09-08","passed","2026-09-08","","TEST-1-login.spec.ts","",""
"","2583","TC-002 - Mobile number field accepts only numeric input","chromium","2026-09-08","passed","2026-09-08","","TEST-1-login.spec.ts","",""
"","1799","TC-006 - Send OTP becomes disabled again when checkbox is unchecked","firefox","2026-09-08","passed","2026-09-08","","TEST-2-login.spec.ts","",""
"","2917","TC-004 - Send OTP remains disabled without terms acceptance","chromium","2026-09-08","passed","2026-09-08","","TEST-2-login.spec.ts","",""
"","2251","TC-002 - Mobile number field accepts only numeric input","firefox","2026-09-08","passed","2026-09-08","","TEST-1-login.spec.ts","",""
